,siteref,x,y,site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
1,L_1,35,86,1_BR_1,Back Reef,4964.379159,FALSE,3.921568627,19139100104,19139100104_1_BR_1,149.5857952,-19.51957614,0,L_1
2,L_2,37,86,1_C_1,Crest,166465.7813,FALSE,38.20224719,19139100104,19139100104_1_C_1,149.5895873,-19.51594814,0,L_2
3,L_2,37,86,1_S_1,Slope,127412.3415,FALSE,21.52094048,19139100104,19139100104_1_S_1,149.5914385,-19.51449199,0,L_2
4,L_3,36,86,1_C_2,Crest,76781.48637,FALSE,58.23244552,19139100104,19139100104_1_C_2,149.5865004,-19.51856734,0,L_3
5,L_3,36,86,1_S_3,Slope,141650.7547,FALSE,16.53386454,19139100104,19139100104_1_S_3,149.589711,-19.5188728,0,L_3
6,L_4,36,87,1_OF_1,Outer Flat,74463.47207,FALSE,31.25,19139100104,19139100104_1_OF_1,149.5855923,-19.51751962,0,L_4
7,L_4,36,87,1_S_2,Slope,202539.2102,FALSE,19.34923576,19139100104,19139100104_1_S_2,149.5846395,-19.51724739,0,L_4
8,L_5,32,81,1_BR_1,Back Reef,19533.92847,FALSE,28.95238095,19141100104,19141100104_1_BR_1,149.593956,-19.5443469,0,L_5
9,L_6,31,74,1_BR_10,Back Reef,48021.78213,FALSE,41.42574257,19141100104,19141100104_1_BR_10,149.6116721,-19.56177987,0,L_6
10,L_6,31,74,1_OF_7,Outer Flat,117901.5416,FALSE,67.79794791,19141100104,19141100104_1_OF_7,149.6120719,-19.56155584,0,L_6
11,L_7,27,80,1_BR_11,Back Reef,22186.64968,FALSE,18.77682403,19141100104,19141100104_1_BR_11,149.5833572,-19.55984479,0,L_7
12,L_8,25,80,1_BR_12,Back Reef,18545.27822,FALSE,6.532663317,19141100104,19141100104_1_BR_12,149.5819337,-19.56482732,0,L_8
13,L_9,29,75,1_BR_13,Back Reef,8280.057502,FALSE,7.954545455,19141100104,19141100104_1_BR_13,149.6062581,-19.56684343,0,L_9
14,L_10,29,81,1_BR_2,Back Reef,24170.51324,FALSE,16.25,19141100104,19141100104_1_BR_2,149.5874346,-19.55006153,0,L_10
15,L_10,29,81,1_P_1,Patch,1986.647213,FALSE,13.63636364,19141100104,19141100104_1_P_1,149.5877777,-19.55103846,0,L_10
16,L_10,29,81,1_SS_5,Sheltered Slope,89400.28418,FALSE,26.20671563,19141100104,19141100104_1_SS_5,149.5857818,-19.55243705,0,L_10
17,L_11,31,79,1_BR_3,Back Reef,10264.58863,FALSE,39.72972973,19141100104,19141100104_1_BR_3,149.5990608,-19.55002694,0,L_11
18,L_12,30,79,1_BR_4,Back Reef,46027.22407,FALSE,27.9218107,19141100104,19141100104_1_BR_4,149.595572,-19.55414766,0,L_12
19,L_12,30,79,1_SS_1,Sheltered Slope,150331.7556,FALSE,34.78637771,19141100104,19141100104_1_SS_1,149.594496,-19.55357147,0,L_12
20,L_13,28,81,1_BR_5,Back Reef,10264.68333,FALSE,21.44859813,19141100104,19141100104_1_BR_5,149.5837443,-19.55435267,0,L_13
21,L_13,28,81,1_S_8,Slope,58275.61098,FALSE,21.78006329,19141100104,19141100104_1_S_8,149.5835932,-19.55280464,0,L_13
22,L_14,32,76,1_BR_6,Back Reef,14570.76144,FALSE,45.22292994,19141100104,19141100104_1_BR_6,149.6085808,-19.55586755,0,L_14
23,L_14,32,76,1_OF_4,Outer Flat,188759.6147,FALSE,75.14940239,19141100104,19141100104_1_OF_4,149.6085004,-19.55664852,0,L_14
24,L_15,30,77,1_BR_7,Back Reef,44043.31151,FALSE,29.42184154,19141100104,19141100104_1_BR_7,149.6006335,-19.55756493,0,L_15
25,L_16,28,79,1_BR_8,Back Reef,24504.81025,FALSE,29.76923077,19141100104,19141100104_1_BR_8,149.5894554,-19.55882312,0,L_16
26,L_16,28,79,1_SS_3,Sheltered Slope,133449.2185,FALSE,33.63316936,19141100104,19141100104_1_SS_3,149.5893497,-19.5574367,0,L_16
27,L_17,29,78,1_BR_9,Back Reef,14239.80033,FALSE,38.01948052,19141100104,19141100104_1_BR_9,149.5967944,-19.55964782,0,L_17
28,L_17,29,78,1_SS_6,Sheltered Slope,216241.3926,FALSE,32.03679654,19141100104,19141100104_1_SS_6,149.5958076,-19.55828353,0,L_17
29,L_18,27,75,1_C_1,Crest,94728.2891,FALSE,31.65182987,19141100104,19141100104_1_C_1,149.5985036,-19.572022,0,L_18
30,L_18,27,75,1_IF_10,Inner Flat,50013.20974,FALSE,56.63551402,19141100104,19141100104_1_IF_10,149.5990587,-19.57092792,0,L_18
31,L_18,27,75,1_S_10,Slope,28485.27291,FALSE,28.48184818,19141100104,19141100104_1_S_10,149.600306,-19.57294303,0,L_18
32,L_19,25,77,1_C_10,Crest,47692.40658,FALSE,52.2,19141100104,19141100104_1_C_10,149.5882955,-19.57007014,0,L_19
33,L_20,29,73,1_C_11,Crest,44051.89366,FALSE,31.5565032,19141100104,19141100104_1_C_11,149.6101406,-19.56911973,0,L_20
34,L_20,29,73,1_S_1,Slope,57301.10126,FALSE,28.52090032,19141100104,19141100104_1_S_1,149.6109092,-19.56957805,0,L_20
35,L_21,26,76,1_C_12,Crest,64916.85555,FALSE,32.65895954,19141100104,19141100104_1_C_12,149.5930681,-19.57132131,0,L_21
36,L_21,26,76,1_IF_4,Inner Flat,160633.1171,FALSE,37.50731422,19141100104,19141100104_1_IF_4,149.5939244,-19.56979893,0,L_21
37,L_21,26,76,1_S_4,Slope,43389.17259,FALSE,26.14224138,19141100104,19141100104_1_S_4,149.5942252,-19.57246094,0,L_21
38,L_22,33,79,1_C_2,Crest,106943.0232,FALSE,55.28384279,19141100104,19141100104_1_C_2,149.600035,-19.54490847,0,L_22
39,L_22,33,79,1_S_3,Slope,117538.8609,FALSE,19.27773344,19141100104,19141100104_1_S_3,149.6028685,-19.54475158,0,L_22
40,L_23,28,74,1_C_3,Crest,57963.96626,FALSE,31.07890499,19141100104,19141100104_1_C_3,149.6039926,-19.57175185,0,L_23
41,L_23,28,74,1_S_2,Slope,36766.04378,FALSE,36.06410256,19141100104,19141100104_1_S_2,149.6055557,-19.5720115,0,L_23
42,L_24,32,77,1_C_4,Crest,138414.2865,FALSE,25.4076087,19141100104,19141100104_1_C_4,149.6079385,-19.55194981,0,L_24
43,L_25,32,80,1_C_5,Crest,103627.563,FALSE,33.9673913,19141100104,19141100104_1_C_5,149.5958101,-19.54282041,0,L_25
44,L_26,33,78,1_C_6,Crest,117875.027,FALSE,15.14670896,19141100104,19141100104_1_C_6,149.6042222,-19.54747752,0,L_26
45,L_27,31,73,1_C_7,Crest,140099.2438,FALSE,13.93168118,19141100104,19141100104_1_C_7,149.6167066,-19.56468869,0,L_27
46,L_27,31,73,1_OF_1,Outer Flat,112278.8582,FALSE,37.40585774,19141100104,19141100104_1_OF_1,149.6145658,-19.56566785,0,L_27
47,L_28,32,74,1_C_8,Crest,112931.8061,FALSE,27.86661143,19141100104,19141100104_1_C_8,149.6147465,-19.55967719,0,L_28
48,L_28,32,74,1_S_12,Slope,104319.4575,FALSE,13.59135914,19141100104,19141100104_1_S_12,149.6156442,-19.5582984,0,L_28
49,L_29,32,75,1_C_9,Crest,72854.70294,FALSE,22.32258065,19141100104,19141100104_1_C_9,149.6115084,-19.55604164,0,L_29
50,L_30,28,75,1_IF_1,Inner Flat,145071.1163,FALSE,48.67656553,19141100104,19141100104_1_IF_1,149.6029293,-19.56984754,0,L_30
51,L_31,28,78,1_IF_2,Inner Flat,107625.7144,FALSE,47.38219895,19141100104,19141100104_1_IF_2,149.592207,-19.5602961,0,L_31
52,L_31,28,78,1_OF_10,Outer Flat,38083.46921,FALSE,39.65517241,19141100104,19141100104_1_OF_10,149.59453,-19.56071601,0,L_31
53,L_32,31,78,1_IF_3,Inner Flat,197679.9066,FALSE,57.87842952,19141100104,19141100104_1_IF_3,149.6006119,-19.55101648,0,L_32
54,L_32,31,78,1_P_2,Patch,662.2700534,FALSE,35,19141100104,19141100104_1_P_2,149.6008376,-19.55372668,0,L_32
55,L_33,31,76,1_IF_5,Inner Flat,137764.0289,FALSE,50.41893733,19141100104,19141100104_1_IF_5,149.6063217,-19.55852127,0,L_33
56,L_34,26,78,1_IF_6,Inner Flat,286805.2388,FALSE,41.65580183,19141100104,19141100104_1_IF_6,149.5879213,-19.56728982,0,L_34
