"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"1",-19.5195761391275,149.585795203603,"L_1","1_BR_1","Back Reef",4964.37915948499,FALSE,3.92156862745098,19139100104,"19139100104_1_BR_1",35,86
"2",-19.5159481399371,149.58958732736,"L_2","1_C_1","Crest",166465.781345947,FALSE,38.2022471910112,19139100104,"19139100104_1_C_1",37,86
"3",-19.5185673435216,149.586500439511,"L_3","1_C_2","Crest",76781.4863735135,FALSE,58.2324455205811,19139100104,"19139100104_1_C_2",36,86
"4",-19.5175196212324,149.585592288371,"L_4","1_OF_1","Outer Flat",74463.4720723587,FALSE,31.25,19139100104,"19139100104_1_OF_1",36,87
"5",-19.5443468974801,149.593955967449,"L_5","1_BR_1","Back Reef",19533.9284674972,FALSE,28.952380952381,19141100104,"19141100104_1_BR_1",32,81
"6",-19.561779872654,149.611672135981,"L_6","1_BR_10","Back Reef",48021.782132979,FALSE,41.4257425742574,19141100104,"19141100104_1_BR_10",31,74
"7",-19.5598447869409,149.583357163381,"L_7","1_BR_11","Back Reef",22186.6496764487,FALSE,18.7768240343348,19141100104,"19141100104_1_BR_11",27,80
"8",-19.5648273245397,149.581933735045,"L_8","1_BR_12","Back Reef",18545.2782238652,FALSE,6.53266331658291,19141100104,"19141100104_1_BR_12",25,80
"9",-19.5668434252969,149.606258054086,"L_9","1_BR_13","Back Reef",8280.05750220641,FALSE,7.95454545454545,19141100104,"19141100104_1_BR_13",29,75
"10",-19.5500615269158,149.587434557685,"L_10","1_BR_2","Back Reef",24170.5132360924,FALSE,16.25,19141100104,"19141100104_1_BR_2",29,81
"11",-19.5500269442261,149.599060798717,"L_11","1_BR_3","Back Reef",10264.5886282413,FALSE,39.7297297297297,19141100104,"19141100104_1_BR_3",31,79
"12",-19.5541476596768,149.595572036001,"L_12","1_BR_4","Back Reef",46027.2240692191,FALSE,27.9218106995885,19141100104,"19141100104_1_BR_4",30,79
"13",-19.5543526738173,149.58374430953,"L_13","1_BR_5","Back Reef",10264.6833334006,FALSE,21.4485981308411,19141100104,"19141100104_1_BR_5",28,81
"14",-19.5558675547541,149.608580754569,"L_14","1_BR_6","Back Reef",14570.761443458,FALSE,45.2229299363057,19141100104,"19141100104_1_BR_6",32,76
"15",-19.5575649344359,149.600633473649,"L_15","1_BR_7","Back Reef",44043.3115111389,FALSE,29.4218415417559,19141100104,"19141100104_1_BR_7",30,77
"16",-19.5588231157901,149.58945540121,"L_16","1_BR_8","Back Reef",24504.8102529678,FALSE,29.7692307692308,19141100104,"19141100104_1_BR_8",28,79
"17",-19.5596478196787,149.596794383562,"L_17","1_BR_9","Back Reef",14239.8003297988,FALSE,38.0194805194805,19141100104,"19141100104_1_BR_9",29,78
"18",-19.5720220010405,149.598503644344,"L_18","1_C_1","Crest",94728.2890960434,FALSE,31.6518298714144,19141100104,"19141100104_1_C_1",27,75
"19",-19.5700701419869,149.588295496735,"L_19","1_C_10","Crest",47692.4065823997,FALSE,52.2,19141100104,"19141100104_1_C_10",25,77
"20",-19.5691197272214,149.610140586065,"L_20","1_C_11","Crest",44051.8936554906,FALSE,31.5565031982942,19141100104,"19141100104_1_C_11",29,73
"21",-19.5713213057038,149.593068129475,"L_21","1_C_12","Crest",64916.8555516424,FALSE,32.6589595375723,19141100104,"19141100104_1_C_12",26,76
"22",-19.5449084739035,149.60003499112,"L_22","1_C_2","Crest",106943.023207932,FALSE,55.2838427947598,19141100104,"19141100104_1_C_2",33,79
"23",-19.571751850334,149.603992569844,"L_23","1_C_3","Crest",57963.9662621501,FALSE,31.0789049919485,19141100104,"19141100104_1_C_3",28,74
"24",-19.5519498077843,149.607938522549,"L_24","1_C_4","Crest",138414.286491261,FALSE,25.4076086956522,19141100104,"19141100104_1_C_4",32,77
"25",-19.5428204148014,149.595810113918,"L_25","1_C_5","Crest",103627.562974264,FALSE,33.9673913043478,19141100104,"19141100104_1_C_5",32,80
"26",-19.5474775236021,149.604222242441,"L_26","1_C_6","Crest",117875.026965514,FALSE,15.146708961142,19141100104,"19141100104_1_C_6",33,78
"27",-19.564688694374,149.616706625093,"L_27","1_C_7","Crest",140099.243835621,FALSE,13.9316811788346,19141100104,"19141100104_1_C_7",31,73
"28",-19.5596771870019,149.614746478982,"L_28","1_C_8","Crest",112931.806088981,FALSE,27.8666114333057,19141100104,"19141100104_1_C_8",32,74
"29",-19.5560416395512,149.611508434871,"L_29","1_C_9","Crest",72854.7029357613,FALSE,22.3225806451613,19141100104,"19141100104_1_C_9",32,75
"30",-19.5698475375703,149.602929273461,"L_30","1_IF_1","Inner Flat",145071.11625927,FALSE,48.6765655261459,19141100104,"19141100104_1_IF_1",28,75
"31",-19.5602960973462,149.592207047814,"L_31","1_IF_2","Inner Flat",107625.714384594,FALSE,47.3821989528796,19141100104,"19141100104_1_IF_2",28,78
"32",-19.5510164844031,149.60061189755,"L_32","1_IF_3","Inner Flat",197679.906595395,FALSE,57.8784295175024,19141100104,"19141100104_1_IF_3",31,78
"33",-19.5585212701288,149.606321707223,"L_33","1_IF_5","Inner Flat",137764.028888041,FALSE,50.4189373297003,19141100104,"19141100104_1_IF_5",31,76
"34",-19.5672898241741,149.587921331773,"L_34","1_IF_6","Inner Flat",286805.238813085,FALSE,41.6558018252934,19141100104,"19141100104_1_IF_6",26,78
