"site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"1_BR_1","Back Reef",4964.37915948499,FALSE,3.92156862745098,"19139100104","19139100104_1_BR_1",149.585795203603,-19.5195761391275
"1_C_1","Crest",166465.781345947,FALSE,38.2022471910112,"19139100104","19139100104_1_C_1",149.58958732736,-19.5159481399371
"1_C_2","Crest",76781.4863735135,FALSE,58.2324455205811,"19139100104","19139100104_1_C_2",149.586500439511,-19.5185673435216
"1_OF_1","Outer Flat",74463.4720723587,FALSE,31.25,"19139100104","19139100104_1_OF_1",149.585592288371,-19.5175196212324
"1_S_1","Slope",127412.34151084,FALSE,21.5209404849375,"19139100104","19139100104_1_S_1",149.591438539611,-19.5144919918553
"1_S_2","Slope",202539.210183734,FALSE,19.349235757295,"19139100104","19139100104_1_S_2",149.584639491548,-19.5172473859724
"1_S_3","Slope",141650.754664325,FALSE,16.5338645418327,"19139100104","19139100104_1_S_3",149.589710997238,-19.5188728046793
"1_BR_1","Back Reef",19533.9284674972,FALSE,28.952380952381,"19141100104","19141100104_1_BR_1",149.593955967449,-19.5443468974801
"1_BR_10","Back Reef",48021.782132979,FALSE,41.4257425742574,"19141100104","19141100104_1_BR_10",149.611672135981,-19.561779872654
"1_BR_11","Back Reef",22186.6496764487,FALSE,18.7768240343348,"19141100104","19141100104_1_BR_11",149.583357163381,-19.5598447869409
"1_BR_12","Back Reef",18545.2782238652,FALSE,6.53266331658291,"19141100104","19141100104_1_BR_12",149.581933735045,-19.5648273245397
"1_BR_13","Back Reef",8280.05750220641,FALSE,7.95454545454545,"19141100104","19141100104_1_BR_13",149.606258054086,-19.5668434252969
"1_BR_2","Back Reef",24170.5132360924,FALSE,16.25,"19141100104","19141100104_1_BR_2",149.587434557685,-19.5500615269158
"1_BR_3","Back Reef",10264.5886282413,FALSE,39.7297297297297,"19141100104","19141100104_1_BR_3",149.599060798717,-19.5500269442261
"1_BR_4","Back Reef",46027.2240692191,FALSE,27.9218106995885,"19141100104","19141100104_1_BR_4",149.595572036001,-19.5541476596768
"1_BR_5","Back Reef",10264.6833334006,FALSE,21.4485981308411,"19141100104","19141100104_1_BR_5",149.58374430953,-19.5543526738173
"1_BR_6","Back Reef",14570.761443458,FALSE,45.2229299363057,"19141100104","19141100104_1_BR_6",149.608580754569,-19.5558675547541
"1_BR_7","Back Reef",44043.3115111389,FALSE,29.4218415417559,"19141100104","19141100104_1_BR_7",149.600633473649,-19.5575649344359
"1_BR_8","Back Reef",24504.8102529678,FALSE,29.7692307692308,"19141100104","19141100104_1_BR_8",149.58945540121,-19.5588231157901
"1_BR_9","Back Reef",14239.8003297988,FALSE,38.0194805194805,"19141100104","19141100104_1_BR_9",149.596794383562,-19.5596478196787
"1_C_1","Crest",94728.2890960434,FALSE,31.6518298714144,"19141100104","19141100104_1_C_1",149.598503644344,-19.5720220010405
"1_C_10","Crest",47692.4065823997,FALSE,52.2,"19141100104","19141100104_1_C_10",149.588295496735,-19.5700701419869
"1_C_11","Crest",44051.8936554906,FALSE,31.5565031982942,"19141100104","19141100104_1_C_11",149.610140586065,-19.5691197272214
"1_C_12","Crest",64916.8555516424,FALSE,32.6589595375723,"19141100104","19141100104_1_C_12",149.593068129475,-19.5713213057038
"1_C_2","Crest",106943.023207932,FALSE,55.2838427947598,"19141100104","19141100104_1_C_2",149.60003499112,-19.5449084739035
"1_C_3","Crest",57963.9662621501,FALSE,31.0789049919485,"19141100104","19141100104_1_C_3",149.603992569844,-19.571751850334
"1_C_4","Crest",138414.286491261,FALSE,25.4076086956522,"19141100104","19141100104_1_C_4",149.607938522549,-19.5519498077843
"1_C_5","Crest",103627.562974264,FALSE,33.9673913043478,"19141100104","19141100104_1_C_5",149.595810113918,-19.5428204148014
