,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
1,-19.51957614,149.5857952,L_1,1_BR_1,Back Reef,4964.379159,FALSE,3.921568627,19139100104,19139100104_1_BR_1,35,86,L_1_V1,0
2,-19.51594814,149.5895873,L_2,1_C_1,Crest,166465.7813,FALSE,38.20224719,19139100104,19139100104_1_C_1,37,86,L_2_V1,0
3,-19.51856734,149.5865004,L_3,1_C_2,Crest,76781.48637,FALSE,58.23244552,19139100104,19139100104_1_C_2,36,86,L_3_V1,0
4,-19.51751962,149.5855923,L_4,1_OF_1,Outer Flat,74463.47207,FALSE,31.25,19139100104,19139100104_1_OF_1,36,87,L_4_V1,0
5,-19.5443469,149.593956,L_5,1_BR_1,Back Reef,19533.92847,FALSE,28.95238095,19141100104,19141100104_1_BR_1,32,81,L_5_V1,0
6,-19.56177987,149.6116721,L_6,1_BR_10,Back Reef,48021.78213,FALSE,41.42574257,19141100104,19141100104_1_BR_10,31,74,L_6_V1,0
7,-19.55984479,149.5833572,L_7,1_BR_11,Back Reef,22186.64968,FALSE,18.77682403,19141100104,19141100104_1_BR_11,27,80,L_7_V1,0
8,-19.56482732,149.5819337,L_8,1_BR_12,Back Reef,18545.27822,FALSE,6.532663317,19141100104,19141100104_1_BR_12,25,80,L_8_V1,0
9,-19.56684343,149.6062581,L_9,1_BR_13,Back Reef,8280.057502,FALSE,7.954545455,19141100104,19141100104_1_BR_13,29,75,L_9_V1,0
10,-19.55006153,149.5874346,L_10,1_BR_2,Back Reef,24170.51324,FALSE,16.25,19141100104,19141100104_1_BR_2,29,81,L_10_V1,0
11,-19.55002694,149.5990608,L_11,1_BR_3,Back Reef,10264.58863,FALSE,39.72972973,19141100104,19141100104_1_BR_3,31,79,L_11_V1,0
12,-19.55414766,149.595572,L_12,1_BR_4,Back Reef,46027.22407,FALSE,27.9218107,19141100104,19141100104_1_BR_4,30,79,L_12_V1,0
13,-19.55435267,149.5837443,L_13,1_BR_5,Back Reef,10264.68333,FALSE,21.44859813,19141100104,19141100104_1_BR_5,28,81,L_13_V1,0
