reef_siteid,area,k,TC,sitedepth,recom_connectivity
1,4.902776,70,3.175767,-1,1
2,1.168442,70,1.681097,-1,2
3,9.118848,70,3.669046,-1,3
4,1.864238,70,3.320664,-1,4
5,0.0649366176645465,70,5.965438,-1,5
6,0.086652,70,4.428484,-1,6
7,11.736508,70,2.667517,-1,7
8,2.405571,70,1.714424,-1,8
9,8.69462,70,1.327125,-1,9
10,0.709045,70,1.727286,-1,10
11,9.719731,70,0.04130646,-1,11
12,0.695797,70,0.4145236,-1,12
13,2.214045,70,2.227513,-1,13
14,0.421453749031234,70,1.258941,-1,14
15,6.816035,70,3.551906,-1,15
16,0.0160798956005384,70,2.864712,-1,16
17,10.181173,70,1.760394,-1,17
18,8.689727,70,3.693747,-1,18
19,32.967585,70,2.350153,-1,19
20,1.252214,70,3.645492,-1,20
21,1.240845,70,7.390776,-1,21
22,0.087025,70,1.59058,-1,22
23,0.395718209826864,70,1.555817,-1,23
24,0.013885,70,0.6190172,-1,24
25,0.147554668949893,70,3.731751,-1,25
26,0.094532,70,3.784536,-1,26
27,0.204953,70,3.410435,-1,27
28,0.047953,70,5.832658,-1,28
29,0.011521,70,6.084644,-1,29
30,49.214199,70,1.053324,-1,30
31,2.60617,70,3.156254,-1,31
32,0.054825,70,4.214916,-1,32
33,1.181893,70,3.169006,-1,33
34,0.000859,70,0.3246194,-1,34
35,0.761745,70,1.963261,-1,35
36,0.10398,70,5.800039,-1,36
37,0.0773105580179587,70,5.60609,-1,37
38,0.65266758076123,70,4.362549,-1,38
39,0.157980983395206,70,4.136865,-1,39
40,0.791743,70,2.696604,-1,40
41,0.00140765279484434,70,2.291261,-1,41
42,0.150393,70,2.390436,-1,42
43,0.563181,70,3.143546,-1,43
44,0.00821946552593755,70,2.535795,-1,44
45,0.353994,70,2.1137,-1,45
46,0.184424,70,1.598519,-1,46
47,0.351448,70,1.176603,-1,47
48,0.46555,70,3.544374,-1,48
49,0.000286,70,3.022141,-1,49
50,3.891195,70,4.499074,-1,50
51,3.2253,70,3.381766,-1,51
52,0.550038,70,2.833462,-1,52
53,0.185688,70,3.064277,-1,53
54,0.17625,70,3.792925,-1,54
55,0.021427,70,3.632231,-1,55
56,0.0159576880116421,70,4.716905,-1,56
57,0.161287393218404,70,3.917976,-1,57
58,0.0192417994998308,70,3.334435,-1,58
59,0.000286,70,3.099146,-1,59
60,0.560645,70,2.900009,-1,60
61,0.411988,70,6.472496,-1,61
62,0.430637,70,2.77587,-1,62
63,1.508408,70,3.36124,-1,63
64,0.02163,70,3.406789,-1,64
65,0.034452,70,4.208666,-1,65
66,1.129997,70,2.047134,-1,66
67,0.0581541658490814,70,3.568343,-1,67
68,0.0550643945470162,70,3.542295,-1,68
69,0.000593,70,3.220964,-1,69
70,2.9e-05,70,2.734317,-1,70
71,0.00792710449327427,70,3.414412,-1,71
