reef_siteid,area,k,sitedepth,recom_connectivity,lat,long
HR_BR_1,23349.879659599,70.954356846473,-1,BP_BR_1,-16.499713153526,146.014438505911
HR_BR_2,10897.8068499045,54.8672566371681,-1,BP_BR_2,-16.504998142749,146.0174923527
HR_BR_3,1868.36356132997,100,-1,BP_BR_3,-16.5120140103658,146.012532177791
HR_BR_4,25536.9019445762,48.5401459854015,-1,BP_SS_2,-16.5201235349837,146.00664317351
HR_BR_5,24916.6561054294,57.5187969924812,-1,HR_BR_1,-16.5273414042935,146.003576263226
HR_BR_6,13080.5987977013,50.354609929078,-1,HR_BR_2,-16.5272322034938,145.995973304535
HR_BR_7,5295.16857596869,55.7692307692308,-1,HR_BR_3,-16.5263601385599,146.017729126666
HR_BR_8,13703.8193177086,94.5945945945946,-1,HR_BR_4,-16.5313997436001,145.988394306515
HR_C_1,108043.812358834,14.4375553587245,-1,HR_BR_5,-16.5028436096255,146.023209657922
HR_C_2,160080.805426231,22.4940334128878,-1,HR_BR_6,-16.5158141543995,146.026549740611
HR_C_3,231377.419270042,29.1735537190083,-1,HR_BR_7,-16.5095115212239,146.027657122396
HR_C_4,27407.6256770508,18.75,-1,HR_BR_8,-16.5298594771124,145.992584250041
HR_C_5,68183.7107626674,36.4016736401674,-1,HR_C_1,-16.4997822835023,146.019097032664
HR_C_6,121158.291433937,25.1383399209486,-1,HR_C_2,-16.5206683198439,146.023304570755
HR_C_7,63539.2906298579,44.8795180722892,-1,HR_C_3,-16.5236194870581,146.018390489628
HR_C_8,20557.077478418,44.7004608294931,-1,HR_C_4,-16.5264914629426,146.012457716829
HR_IF_1,303961.821976303,58.3647798742138,-1,HR_C_5,-16.5174153990851,146.019564979931
HR_IF_2,305184.680065071,67.8593848085374,-1,HR_C_6,-16.5118162948454,146.022966752436
HR_IF_3,294311.813935243,65.2583685407865,-1,HR_C_7,-16.5197228866345,146.015702611582
HR_IF_4,111466.842819066,59.2592592592593,-1,HR_C_8,-16.503553545043,146.018391692874
HR_IF_5,293365.826724,59.7914630172695,-1,HR_IF_1,-16.5150945660955,146.022055222669
HR_IF_6,367439.645472617,67.4636174636175,-1,HR_IF_2,-16.5077159055574,146.02220939563
HR_IF_7,202753.173829337,41.8944392082941,-1,HR_IF_3,-16.5230754168229,146.01042869335
HR_IF_8,228603.732864514,39.1852162956741,-1,HR_IF_4,-16.5264413852743,146.001427727354
HR_IF_9,133303.967761478,42.0071684587814,-1,HR_IF_5,-16.5262910450155,146.006277270543
