"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.00238134617368878
"BP_BR_1","BP_BR_2",0.0243353344362761
"BP_BR_1","BP_BR_3",0.00569955084681019
"BP_BR_1","BP_SS_1",0.0129275593485209
"BP_BR_1","BP_SS_3",0.0111555326475997
"BP_BR_1","HR_BR_1",0.000737212668622471
"BP_BR_1","HR_BR_2",0.000264350074807126
"BP_BR_1","HR_BR_3",0.000774594354165402
"BP_BR_1","HR_BR_4",0.000287696447730331
"BP_BR_1","HR_BR_5",0.000340164187195911
"BP_BR_1","HR_BR_6",0.000880604177557681
"BP_BR_1","HR_BR_7",0.000673351646329341
"BP_BR_1","HR_BR_8",0.00166636029662878
"BP_BR_1","HR_C_1",0.000115444788612622
"BP_BR_1","HR_C_2",0.000518802765821705
"BP_BR_1","HR_C_3",0.00025427728991126
"BP_BR_1","HR_C_4",0.00129736801484176
"BP_BR_1","HR_C_5",0.000672354995481908
"BP_BR_1","HR_C_6",0.000239196806465759
"BP_BR_1","HR_C_7",0.000704572281165807
"BP_BR_1","HR_C_8",0.000674610056342342
"BP_BR_1","HR_IF_1",9.36167190320107e-05
"BP_BR_1","HR_IF_2",6.46175840738522e-05
"BP_BR_1","HR_IF_3",0.00014542453488705
"BP_BR_1","HR_IF_5",6.52688455387378e-05
"BP_BR_1","HR_IF_6",8.44423111765938e-05
"BP_BR_1","HR_IF_7",0.000156130921827564
"BP_BR_1","HR_IF_8",0.000430313400417266
"BP_BR_1","HR_IF_9",0.000202361855320563
"BP_BR_1","HR_OF_2",0.000135618316402652
"BP_BR_1","HR_OF_3",0.000174982010592743
"BP_BR_1","HR_OF_4",0.0001546708814553
"BP_BR_1","HR_OF_5",0.000168845908616798
"BP_BR_1","HR_OF_6",0.000754434286181099
"BP_BR_1","HR_OF_8",0.00133032260701137
"BP_BR_1","HR_S_11",0.000691613321422854
"BP_BR_1","HR_S_12",0.00214750157231434
"BP_BR_1","HR_S_13",0.000856673425767417
"BP_BR_1","HR_S_15",0.000687430496406119
"BP_BR_1","HR_S_2",0.000562091834535597
"BP_BR_1","HR_S_3",0.00077724405611707
"BP_BR_1","HR_S_5",0.000756364338989085
"BP_BR_1","HR_S_6",0.00147615865024692
"BP_BR_1","HR_S_9",0.000510103207994743
"BP_BR_1","HR_SS_1",0.000459986515243793
"BP_BR_1","HR_SS_2",0.000666755109948035
"BP_BR_1","HR_SS_3",0.000809485631590357
"BP_BR_1","JP_BR_1",0.00130152801113857
"BP_BR_1","MR_BR_1",0.000545987407212811
"BP_BR_1","MR_BR_10",0.000433544685219128
"BP_BR_1","MR_BR_11",9.60623446025646e-05
"BP_BR_1","MR_BR_12",0.000558469585941891
"BP_BR_1","MR_BR_13",0.000537922449942092
"BP_BR_1","MR_BR_14",9.74730287020075e-05
"BP_BR_1","MR_BR_15",5.9302027123591e-05
"BP_BR_1","MR_BR_16",0.000343527264161604
"BP_BR_1","MR_BR_17",7.90490591859995e-05
"BP_BR_1","MR_BR_18",0.000178716480141086
"BP_BR_1","MR_BR_2",0.00067961156043881
"BP_BR_1","MR_BR_3",0.000279598408174671
"BP_BR_1","MR_BR_4",0.000327515187751324
"BP_BR_1","MR_BR_5",0.000404733582400627
"BP_BR_1","MR_BR_6",0.000222326533437295
"BP_BR_1","MR_BR_7",6.42274213165302e-05
"BP_BR_1","MR_BR_8",7.45737571354458e-05
"BP_BR_1","MR_BR_9",0.000250009540767617
"BP_BR_1","MR_C_1",9.19069507116218e-05
"BP_BR_1","MR_C_10",9.22612347161356e-05
"BP_BR_1","MR_C_11",0.000112255798130948
"BP_BR_1","MR_C_12",5.93201785168391e-05
"BP_BR_1","MR_C_13",9.61877983408804e-05
"BP_BR_1","MR_C_14",0.000116771818980002
"BP_BR_1","MR_C_15",0.000163920237022911
"BP_BR_1","MR_C_16",6.10776154153289e-05
"BP_BR_1","MR_C_2",0.000116951709754084
"BP_BR_1","MR_C_3",9.46777936830303e-05
"BP_BR_1","MR_C_4",0.000151851678289887
"BP_BR_1","MR_C_5",6.91673034380458e-05
"BP_BR_1","MR_C_6",0.000122530038534766
"BP_BR_1","MR_C_7",0.000178769591574724
"BP_BR_1","MR_C_8",0.000108034060360697
"BP_BR_1","MR_C_9",6.60078403148207e-05
"BP_BR_1","MR_IF_1",3.92645388503255e-05
"BP_BR_1","MR_IF_10",2.721523043322e-05
"BP_BR_1","MR_IF_11",5.93670784313911e-05
"BP_BR_1","MR_IF_12",8.16147139661434e-05
"BP_BR_1","MR_IF_13",2.11665096344192e-05
"BP_BR_1","MR_IF_14",6.11370778212759e-05
