"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.00560829050211646
"BP_BR_1","BP_BR_2",0.093129524906326
"BP_BR_1","BP_BR_3",0.0563474756929519
"BP_BR_1","BP_SS_2",0.0777661152460478
"BP_BR_1","HR_BR_1",0.000705465341388979
"BP_BR_1","HR_BR_2",0.000166391133178769
"BP_BR_1","HR_BR_3",0.000419556122138786
"BP_BR_1","HR_BR_4",0.000369032721650536
"BP_BR_1","HR_BR_5",0.000247208780537347
"BP_BR_1","HR_BR_6",0.000423495433473031
"BP_BR_1","HR_BR_7",0.000957284599114718
"BP_BR_1","HR_BR_8",0.000851838082631092
"BP_BR_1","HR_C_1",0.000189257064001089
"BP_BR_1","HR_C_2",0.000244318668059524
"BP_BR_1","HR_C_3",9.70766647141497e-05
"BP_BR_1","HR_C_4",0.000668215137031617
"BP_BR_1","HR_C_5",0.000223859043767399
"BP_BR_1","HR_C_6",0.000424904720467886
"BP_BR_1","HR_C_7",0.000275846939827186
"BP_BR_1","HR_C_8",0.000237397693230844
"BP_BR_1","HR_IF_1",8.00053142109189e-05
"BP_BR_1","HR_IF_2",6.02564776530437e-05
"BP_BR_1","HR_IF_3",0.000107821879850332
"BP_BR_1","HR_IF_4",0.000289916602337723
"BP_BR_1","HR_IF_5",0.000106642994526842
"BP_BR_1","HR_IF_6",7.01967293682733e-05
"BP_BR_1","HR_IF_7",0.000137393712407642
"BP_BR_1","HR_IF_8",0.000307413589045815
"BP_BR_1","HR_IF_9",0.000171368227156126
"BP_BR_1","HR_OF_1",8.54281387742229e-05
"BP_BR_1","HR_OF_2",0.000251280209120766
"BP_BR_1","HR_OF_3",0.000186130731283828
"BP_BR_1","HR_OF_4",0.000351427230527404
"BP_BR_1","HR_OF_5",0.000278684907103898
"BP_BR_1","HR_OF_9",0.000166159625443015
"BP_BR_1","HR_S_10",0.000538413759651763
"BP_BR_1","HR_S_11",0.000409277418655551
"BP_BR_1","HR_S_13",0.00116263111858431
"BP_BR_1","HR_S_14",0.000519412345146158
"BP_BR_1","HR_S_15",0.000400575320865221
"BP_BR_1","HR_S_2",0.000741767000330718
"BP_BR_1","HR_S_3",0.00107980518238156
"BP_BR_1","HR_S_4",0.000655549366414002
"BP_BR_1","HR_S_5",0.000551076106668447
"BP_BR_1","HR_S_6",0.000687156160282437
"BP_BR_1","HR_S_7",0.000861169856585595
"BP_BR_1","HR_S_8",0.00100908974314955
"BP_BR_1","HR_S_9",0.000579660671884124
"BP_BR_1","HR_SS_1",0.000494268933012533
"BP_BR_1","HR_SS_2",0.000640677313091753
"BP_BR_1","JP_BR_1",0.00128052555840238
"BP_BR_1","JP_S_1",0.00124760454038365
"BP_BR_1","MR_BR_1",0.000374796909090972
"BP_BR_1","MR_BR_10",0.000293938438463154
"BP_BR_1","MR_BR_11",0.000391187469209968
"BP_BR_1","MR_BR_12",0.000340388659113028
"BP_BR_1","MR_BR_13",0.000392242006627587
"BP_BR_1","MR_BR_14",0.000391009737225301
"BP_BR_1","MR_BR_15",0.000285966769016574
"BP_BR_1","MR_BR_16",0.000423252266057132
"BP_BR_1","MR_BR_17",0.000344506483322761
"BP_BR_1","MR_BR_18",0.000469848441337415
"BP_BR_1","MR_BR_2",0.000578965861493371
