"source_site","receiving_site","transfer_probability"
"BP_BR_1","BP_BR_1",0.00451092760470577
"BP_BR_1","BP_BR_2",0.118850290348786
"BP_BR_1","BP_BR_3",0.0537816645589806
"BP_BR_1","BP_SS_2",0.107152680770581
"BP_BR_1","HR_BR_1",0.0056334332442229
"BP_BR_1","HR_BR_2",0.00128400226736715
"BP_BR_1","HR_BR_3",0.0032973249112869
"BP_BR_1","HR_BR_4",0.00280165039309464
"BP_BR_1","HR_BR_5",0.00191001879835424
"BP_BR_1","HR_BR_6",0.00336261326053868
"BP_BR_1","HR_BR_7",0.00702941422099152
"BP_BR_1","HR_BR_8",0.00665797447096971
"BP_BR_1","HR_C_1",0.00144793090094221
"BP_BR_1","HR_C_2",0.00182134163571065
"BP_BR_1","HR_C_3",0.000728671006321024
"BP_BR_1","HR_C_4",0.00528703282498393
"BP_BR_1","HR_C_5",0.00174456242163309
"BP_BR_1","HR_C_6",0.00315758119844159
"BP_BR_1","HR_C_7",0.00205400537649829
"BP_BR_1","HR_C_8",0.00177528303712903
"BP_BR_1","HR_IF_1",0.000601256475138947
"BP_BR_1","HR_IF_2",0.000454825541952814
"BP_BR_1","HR_IF_3",0.000807425509918198
"BP_BR_1","HR_IF_4",0.00227334932285077
"BP_BR_1","HR_IF_5",0.000802376835254729
"BP_BR_1","HR_IF_6",0.000533958530189342
"BP_BR_1","HR_IF_7",0.00103145688325448
"BP_BR_1","HR_IF_8",0.0024030119647207
"BP_BR_1","HR_IF_9",0.0012985119889142
"BP_BR_1","HR_OF_1",0.000654620158855476
"BP_BR_1","HR_OF_2",0.00187314743909524
"BP_BR_1","HR_OF_3",0.00145126051598793
"BP_BR_1","HR_OF_4",0.00261011022909866
"BP_BR_1","HR_OF_5",0.00209851849343787
"BP_BR_1","HR_OF_9",0.00124590806985507
"BP_BR_1","HR_S_10",0.0042818547435668
"BP_BR_1","HR_S_11",0.00306728805890679
"BP_BR_1","HR_S_13",0.00846584807575526
"BP_BR_1","HR_S_14",0.00413224876038571
"BP_BR_1","HR_S_15",0.00296619684629231
"BP_BR_1","HR_S_2",0.00558946295082847
"BP_BR_1","HR_S_3",0.00805140702532991
"BP_BR_1","HR_S_4",0.00519811261493039
"BP_BR_1","HR_S_5",0.00429635543283564
"BP_BR_1","HR_S_6",0.00507798724777283
"BP_BR_1","HR_S_7",0.00634969477802043
"BP_BR_1","HR_S_8",0.00740587116062462
"BP_BR_1","HR_S_9",0.00447827305274671
"BP_BR_1","HR_SS_1",0.00390836681305818
