"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"1","L_1",35,86,"1_BR_1","Back Reef",4964.37915948499,FALSE,3.92156862745098,19139100104,"19139100104_1_BR_1",149.585795203603,-19.5195761391275
"2","L_2",37,86,"1_C_1","Crest",166465.781345947,FALSE,38.2022471910112,19139100104,"19139100104_1_C_1",149.58958732736,-19.5159481399371
"3","L_2",37,86,"1_S_1","Slope",127412.34151084,FALSE,21.5209404849375,19139100104,"19139100104_1_S_1",149.591438539611,-19.5144919918553
"4","L_3",36,86,"1_C_2","Crest",76781.4863735135,FALSE,58.2324455205811,19139100104,"19139100104_1_C_2",149.586500439511,-19.5185673435216
"5","L_3",36,86,"1_S_3","Slope",141650.754664325,FALSE,16.5338645418327,19139100104,"19139100104_1_S_3",149.589710997238,-19.5188728046793
"6","L_4",36,87,"1_OF_1","Outer Flat",74463.4720723587,FALSE,31.25,19139100104,"19139100104_1_OF_1",149.585592288371,-19.5175196212324
"7","L_4",36,87,"1_S_2","Slope",202539.210183734,FALSE,19.349235757295,19139100104,"19139100104_1_S_2",149.584639491548,-19.5172473859724
"8","L_5",32,81,"1_BR_1","Back Reef",19533.9284674972,FALSE,28.952380952381,19141100104,"19141100104_1_BR_1",149.593955967449,-19.5443468974801
"9","L_6",31,74,"1_BR_10","Back Reef",48021.782132979,FALSE,41.4257425742574,19141100104,"19141100104_1_BR_10",149.611672135981,-19.561779872654
"10","L_6",31,74,"1_OF_7","Outer Flat",117901.541568419,FALSE,67.7979479084452,19141100104,"19141100104_1_OF_7",149.612071949908,-19.5615558364327
"11","L_7",27,80,"1_BR_11","Back Reef",22186.6496764487,FALSE,18.7768240343348,19141100104,"19141100104_1_BR_11",149.583357163381,-19.5598447869409
"12","L_8",25,80,"1_BR_12","Back Reef",18545.2782238652,FALSE,6.53266331658291,19141100104,"19141100104_1_BR_12",149.581933735045,-19.5648273245397
"13","L_9",29,75,"1_BR_13","Back Reef",8280.05750220641,FALSE,7.95454545454545,19141100104,"19141100104_1_BR_13",149.606258054086,-19.5668434252969
"14","L_10",29,81,"1_BR_2","Back Reef",24170.5132360924,FALSE,16.25,19141100104,"19141100104_1_BR_2",149.587434557685,-19.5500615269158
"15","L_10",29,81,"1_P_1","Patch",1986.64721287601,FALSE,13.6363636363636,19141100104,"19141100104_1_P_1",149.587777723479,-19.5510384645776
"16","L_10",29,81,"1_SS_5","Sheltered Slope",89400.2841825541,FALSE,26.2067156348374,19141100104,"19141100104_1_SS_5",149.585781807464,-19.552437050634
"17","L_11",31,79,"1_BR_3","Back Reef",10264.5886282413,FALSE,39.7297297297297,19141100104,"19141100104_1_BR_3",149.599060798717,-19.5500269442261
"18","L_12",30,79,"1_BR_4","Back Reef",46027.2240692191,FALSE,27.9218106995885,19141100104,"19141100104_1_BR_4",149.595572036001,-19.5541476596768
"19","L_12",30,79,"1_SS_1","Sheltered Slope",150331.75556724,FALSE,34.7863777089783,19141100104,"19141100104_1_SS_1",149.594496030458,-19.5535714746096
"20","L_13",28,81,"1_BR_5","Back Reef",10264.6833334006,FALSE,21.4485981308411,19141100104,"19141100104_1_BR_5",149.58374430953,-19.5543526738173
