"","siteref","x","y","site_id","habitat","area","benthic","rubble","k","Reef","long","lat"
"1","L_1",29,24,"HR_BR_1","Back Reef",23349.879659599,"Hard Substrate",FALSE,70.954356846473,"Hastings",146.014438505911,-16.499713153526
"2","L_2",27,23,"HR_BR_2","Back Reef",10897.8068499045,"Hard Substrate",FALSE,54.8672566371681,"Hastings",146.0174923527,-16.504998142749
"3","L_3",26,27,"HR_BR_3","Back Reef",1868.36356132997,"NaN",FALSE,100,"Hastings",146.012532177791,-16.5120140103658
"4","L_4",25,32,"HR_BR_4","Back Reef",25536.9019445762,"Sand",FALSE,48.5401459854015,"Hastings",146.00664317351,-16.5201235349837
"5","L_4",25,32,"HR_SS_3","Sheltered Slope",46401.501752362,"Hard Substrate",FALSE,83.9175257731959,"Hastings",146.005738341363,-16.5193007714473
"6","L_5",24,35,"HR_BR_5","Back Reef",24916.6561054294,"Hard Substrate",FALSE,57.5187969924812,"Hastings",146.003576263226,-16.5273414042935
"7","L_6",24,38,"HR_BR_6","Back Reef",13080.5987977013,"Rock",FALSE,50.354609929078,"Hastings",145.995973304535,-16.5272322034938
"8","L_6",24,38,"HR_OF_6","Outer Flat",101844.782557209,"Hard Substrate",FALSE,55.358807082945,"Hastings",145.997338882397,-16.5284357702174
"9","L_7",22,28,"HR_BR_7","Back Reef",5295.16857596869,"Rock",FALSE,55.7692307692308,"Hastings",146.017729126666,-16.5263601385599
"10","L_8",24,43,"HR_BR_8","Back Reef",13703.8193177086,"Rock",FALSE,94.5945945945946,"Hastings",145.988394306515,-16.5313997436001
"11","L_8",24,43,"HR_S_12","Slope",26162.5959067008,"Rock",FALSE,83.3962264150943,"Hastings",145.988243803826,-16.5331504581267
"12","L_9",27,20,"HR_C_1","Crest",108043.812358834,"Rock",FALSE,14.4375553587245,"Hastings",146.023209657922,-16.5028436096255
"13","L_10",24,21,"HR_C_2","Crest",160080.805426231,"Rock",FALSE,22.4940334128878,"Hastings",146.026549740611,-16.5158141543995
"14","L_11",25,20,"HR_C_3","Crest",231377.419270042,"Rock",FALSE,29.1735537190083,"Hastings",146.027657122396,-16.5095115212239
"15","L_12",24,41,"HR_C_4","Crest",27407.6256770508,"Rock",FALSE,18.75,"Hastings",145.992584250041,-16.5298594771124
"16","L_12",24,41,"HR_OF_8","Outer Flat",11212.1629462179,"Rock",FALSE,16.3793103448276,"Hastings",145.991021212035,-16.5301888896891
"17","L_12",24,41,"HR_S_1","Slope",308959.065438953,"Rock",FALSE,64.4230769230769,"Hastings",145.992115500858,-16.530102645946
"18","L_13",28,21,"HR_C_5","Crest",68183.7107626674,"Rock",FALSE,36.4016736401674,"Hastings",146.019097032664,-16.4997822835023
"19","L_14",23,24,"HR_C_6","Crest",121158.291433937,"Rock",FALSE,25.1383399209486,"Hastings",146.023304570755,-16.5206683198439
"20","L_15",23,27,"HR_C_7","Crest",63539.2906298579,"Rock",FALSE,44.8795180722892,"Hastings",146.018390489628,-16.5236194870581
"21","L_16",23,30,"HR_C_8","Crest",20557.077478418,"Rock",FALSE,44.7004608294931,"Hastings",146.012457716829,-16.5264914629426
"22","L_17",24,25,"HR_IF_1","Inner Flat",303961.821976303,"Hard Substrate",FALSE,58.3647798742138,"Hastings",146.019564979931,-16.5174153990851
"23","L_18",25,22,"HR_IF_2","Inner Flat",305184.680065071,"Hard Substrate",FALSE,67.8593848085374,"Hastings",146.022966752436,-16.5118162948454
"24","L_19",24,27,"HR_IF_3","Inner Flat",294311.813935243,"Hard Substrate",FALSE,65.2583685407865,"Hastings",146.015702611582,-16.5197228866345
"25","L_20",28,23,"HR_IF_4","Inner Flat",111466.842819066,"Hard Substrate",FALSE,59.2592592592593,"Hastings",146.018391692874,-16.503553545043
"26","L_21",24,23,"HR_IF_5","Inner Flat",293365.826724,"Hard Substrate",FALSE,59.7914630172695,"Hastings",146.022055222669,-16.5150945660955
"27","L_22",26,22,"HR_IF_6","Inner Flat",367439.645472617,"Hard Substrate",FALSE,67.4636174636175,"Hastings",146.02220939563,-16.5077159055574
"28","L_23",24,31,"HR_IF_7","Inner Flat",202753.173829337,"Sand",FALSE,41.8944392082941,"Hastings",146.01042869335,-16.5230754168229
"29","L_24",24,36,"HR_IF_8","Inner Flat",228603.732864514,"Sand",FALSE,39.1852162956741,"Hastings",146.001427727354,-16.5264413852743
"30","L_24",24,36,"HR_OF_7","Outer Flat",33014.6250540103,"Hard Substrate",FALSE,80.9798270893372,"Hastings",146.001671244826,-16.5281292122558
"31","L_25",24,33,"HR_IF_9","Inner Flat",133303.967761478,"Sand",FALSE,42.0071684587814,"Hastings",146.006277270543,-16.5262910450155
"32","L_26",27,21,"HR_OF_1","Outer Flat",161604.645831953,"Rock",FALSE,47.3715298287064,"Hastings",146.023305257833,-16.5049663310187
"33","L_27",23,28,"HR_OF_2","Outer Flat",184073.409637204,"Hard Substrate",FALSE,62.148070907195,"Hastings",146.016025710113,-16.5233206821361
"34","L_28",28,22,"HR_OF_3","Outer Flat",121425.823698734,"Hard Substrate",FALSE,68.6413902053713,"Hastings",146.018251901242,-16.5014366064162
"35","L_29",23,25,"HR_OF_4","Outer Flat",68520.9816307083,"Rock",FALSE,46.7315716272601,"Hastings",146.020802250095,-16.521224847102
"36","L_30",23,32,"HR_OF_5","Outer Flat",220827.948440674,"Hard Substrate",FALSE,64.7569444444444,"Hastings",146.009644512324,-16.5262062016098
"37","L_31",24,22,"HR_OF_9","Outer Flat",7163.08890135043,"Rock",FALSE,6.66666666666667,"Hastings",146.026076664815,-16.5154977348992
"38","L_32",28,24,"HR_SS_1","Sheltered Slope",8406.44721734681,"Hard Substrate",FALSE,94.3820224719101,"Hastings",146.015621355949,-16.5027066840432
"39","L_33",27,27,"HR_SS_2","Sheltered Slope",16814.8286385795,"Hard Substrate",FALSE,86.7816091954023,"Hastings",146.013004855471,-16.5103515154523
"40","L_34",29,23,"HR_S_10","Slope",166871.210262875,"Rock",FALSE,78.0585870189546,"Hastings",146.014604860349,-16.4987590285908
"41","L_35",25,19,"HR_S_11","Slope",113045.728540311,"Rock",FALSE,62.8595600676819,"Hastings",146.030220315147,-16.5106481526696
"42","L_36",22,25,"HR_S_13","Slope",79737.8468698029,"Hard Substrate",FALSE,76.0817307692308,"Hastings",146.022703177267,-16.5237033518785
"43","L_37",24,39,"HR_S_14","Slope",109635.095032511,"Rock",FALSE,42.7821522309711,"Hastings",145.99730986689,-16.5305748480671
"44","L_38",24,20,"HR_S_15","Slope",107759.295503187,"Rock",FALSE,58.1850533807829,"Hastings",146.029220913402,-16.5151820815875
"45","L_39",26,18,"HR_S_2","Slope",129226.585825633,"Rock",FALSE,62.3048327137546,"Hastings",146.028253863889,-16.5054876675219
"46","L_40",22,33,"HR_S_3","Slope",220839.717688187,"Rock",FALSE,55.724197745013,"Hastings",146.008075091498,-16.5298845202291
"47","L_41",29,21,"HR_S_4","Slope",128890.186355565,"Rock",FALSE,72.6800296956199,"Hastings",146.018540398795,-16.4977128579598
"48","L_42",28,20,"HR_S_5","Slope",146026.865591786,"Rock",FALSE,58.5413929040736,"Hastings",146.023795147012,-16.5012275958062
"49","L_43",23,23,"HR_S_6","Slope",131748.742881676,"Hard Substrate",FALSE,76.7492711370262,"Hastings",146.026238958833,-16.519948023908
"50","L_44",22,30,"HR_S_7","Slope",215545.484579705,"Rock",FALSE,58.980044345898,"Hastings",146.014171732233,-16.52792176084
"51","L_45",22,27,"HR_S_8","Slope",164460.975657233,"Rock",FALSE,60.3238866396761,"Hastings",146.018794549209,-16.5257192363588
"52","L_46",23,36,"HR_S_9","Slope",149505.206604737,"Rock",FALSE,40.795381654907,"Hastings",146.002051232839,-16.5299553202581
"53","L_47",50,15,"NR_BR_1","Back Reef",9637.04158885695,"Rock",FALSE,52.8846153846154,"Norman",145.995180146179,-16.4209656777949
"54","L_47",50,15,"NR_SS_1","Sheltered Slope",23004.2614381237,"Rock",FALSE,65.9663865546218,"Norman",145.996191563053,-16.4198333359749
"55","L_48",50,18,"NR_BR_2","Back Reef",9948.53114731004,"Hard Substrate",FALSE,60.3960396039604,"Norman",145.991907416723,-16.4257163346931
"56","L_49",47,11,"NR_BR_3","Back Reef",310.932748954415,"NaN",FALSE,100,"Norman",146.006645743806,-16.4280482064292
"57","L_50",49,21,"NR_BR_4","Back Reef",15234.5502094443,"Rock",FALSE,59.2356687898089,"Norman",145.987734306099,-16.4305234702763
"58","L_51",46,16,"NR_C_1","Crest",111632.517660308,"Rock",FALSE,37.8632478632479,"Norman",146.000118519499,-16.4343853833741
"59","L_51",46,16,"NR_S_4","Slope",159838.354862995,"Rock",FALSE,64.7340107591154,"Norman",146.000777298321,-16.4370406106886
"60","L_52",48,14,"NR_C_2","Crest",122504.304536377,"Rock",FALSE,21.5900233826968,"Norman",146.002129147714,-16.428162882665
"61","L_53",47,20,"NR_C_3","Crest",104475.651322008,"Rock",FALSE,36.5965233302836,"Norman",145.991554968623,-16.4347581560122
"62","L_54",49,12,"NR_C_4","Crest",100733.347400218,"Rock",FALSE,18.8212927756654,"Norman",146.002747078554,-16.4243608685273
"63","L_55",50,12,"NR_C_5","Crest",100413.459909112,"Rock",FALSE,21.6396568160153,"Norman",146.00120376969,-16.4197504596937
"64","L_56",48,15,"NR_IF_1","Inner Flat",122190.641996942,"Hard Substrate",FALSE,70.2511773940345,"Norman",145.999309226803,-16.4278942077452
"65","L_57",48,18,"NR_IF_2","Inner Flat",399844.018760614,"Hard Substrate",FALSE,54.251497005988,"Norman",145.99374061798,-16.4304808578102
"66","L_58",49,16,"NR_IF_3","Inner Flat",134618.690773234,"Hard Substrate",FALSE,56.7259786476868,"Norman",145.995013728185,-16.4257268633092
"67","L_58",49,16,"NR_OF_5","Outer Flat",273898.677372699,"Hard Substrate",FALSE,54.8308336239972,"Norman",145.996415694573,-16.4247540924516
"68","L_59",47,16,"NR_OF_1","Outer Flat",259012.700894575,"Rock",FALSE,47.4207811348563,"Norman",145.99933872112,-16.4319794359164
"69","L_60",50,14,"NR_OF_2","Outer Flat",268291.076748864,"Rock",FALSE,49.3048128342246,"Norman",145.998929846419,-16.4213671190864
"70","L_61",48,21,"NR_OF_3","Outer Flat",82394.6633982429,"Rock",FALSE,41.6763678696158,"Norman",145.988537563784,-16.4328432986714
"71","L_62",49,14,"NR_OF_4","Outer Flat",63425.2630242444,"Hard Substrate",FALSE,61.2708018154312,"Norman",146.000783676061,-16.425582757878
"72","L_63",47,18,"NR_OF_6","Outer Flat",124686.759757889,"Hard Substrate",FALSE,57.033051498847,"Norman",145.994710063774,-16.4336440169866
"73","L_64",49,20,"NR_OF_7","Outer Flat",99491.1605761376,"Hard Substrate",FALSE,73.9255014326648,"Norman",145.990499661205,-16.4296483668902
"74","L_65",48,11,"NR_S_1","Slope",166958.095558715,"Rock",FALSE,59.4733829421866,"Norman",146.005216473584,-16.4241215051619
"75","L_66",47,12,"NR_S_2","Slope",148625.372812482,"Rock",FALSE,71.4100905562743,"Norman",146.004667088314,-16.4285775325436
"76","L_67",50,11,"NR_S_3","Slope",145489.553175063,"Rock",FALSE,41.7596848325673,"Norman",146.002289763329,-16.4188922836194
"77","L_68",48,22,"NR_S_5","Slope",61562.0136812985,"Rock",FALSE,66.1971830985916,"Norman",145.987632757433,-16.4324362940135
"78","L_69",46,14,"NR_S_6","Slope",90798.4822616441,"Rock",FALSE,57.4132492113565,"Norman",146.003495209831,-16.4330982269317
"79","L_70",47,19,"NR_S_7","Slope",116918.984954823,"Rock",FALSE,71.6516023007395,"Norman",145.994949559584,-16.4363732475904
"80","L_71",41,31,"SR_BR_1","Back Reef",11509.8404505603,"Rock",FALSE,19.6581196581197,"Saxon",145.982036987381,-16.463851443983
"81","L_71",41,31,"SR_OF_2","Outer Flat",199095.589312227,"Rock",FALSE,38.9585342333655,"Saxon",145.982760622992,-16.4654819526386
