site_id,DHW16,DHW17,DHW20
MR_BR_1,12.2244,5.3816,8.8851
MR_BR_10,11.1551,4.0333,6.3043
MR_BR_11,12.2611,5.8978,8.8311
MR_BR_12,12.4045,6.0329,8.9137
MR_BR_13,12.6068,6.2134,9.1317
MR_BR_14,11.3533,4.97,7.5403
MR_BR_15,11.7382,5.3404,7.9781
MR_BR_16,12.6862,6.2226,9.1649
MR_BR_17,10.9391,4.1073,6.0332
MR_BR_18,12.5109,5.9981,8.8738
MR_BR_19,10.9222,4.219,6.1521
MR_BR_2,11.8467,5.0387,8.5103
MR_BR_20,12.8149,6.2889,9.2848
MR_BR_21,12.0602,5.5476,8.2477
MR_BR_22,13.4378,7.0831,10.5505
MR_BR_23,11.0798,4.4055,6.4397
MR_BR_24,13.1019,6.5918,9.7862
MR_BR_25,11.9051,5.3451,7.9365
MR_BR_26,11.2546,4.6616,6.819
MR_BR_27,12.6287,6.0774,9.003
MR_BR_28,11.3837,4.8626,7.193
MR_BR_29,12.3536,5.7755,8.5888
MR_BR_3,11.823,4.6286,7.7908
MR_BR_30,13.2355,6.8054,10.1354
MR_BR_31,13.3519,7.0074,10.4552
MR_BR_32,11.6041,5.0509,7.4496
MR_BR_33,12.9453,6.4059,9.5072
MR_BR_34,13.1509,6.6648,9.8966
MR_BR_35,12.2906,5.6606,8.4267
MR_BR_4,11.559,4.696,7.9101
MR_BR_5,11.8809,5.3021,8.6049
MR_BR_6,11.5469,4.3121,7.2698
MR_BR_7,11.7826,5.2218,8.43
MR_BR_8,12.1558,5.7055,8.8225
MR_BR_9,12.1814,5.7743,8.7758
MR_C_1,11.3223,4.1338,6.9215
MR_C_2,11.5592,4.4288,7.4609
MR_C_3,11.2107,4.068,6.5512
MR_C_4,11.0352,4.1176,6.1659
MR_C_5,11.9683,4.9844,8.4589
MR_C_6,11.7445,4.6489,7.8789
MR_C_7,11.0979,4.0173,6.2132
MR_IF_1,11.1122,4.3966,6.5037
MR_IF_10,11.2298,4.2258,7.1019
MR_IF_11,11.1282,4.4786,6.6336
MR_IF_12,11.1041,4.2437,6.376
MR_IF_13,11.1361,4.3793,6.6225
MR_IF_14,11.121,4.0774,6.387
MR_IF_15,11.325,4.3291,7.4008
MR_IF_16,11.9711,5.4967,8.1834
MR_IF_17,11.12,4.1893,6.5477
MR_IF_18,11.7504,4.8038,8.1322
MR_IF_2,11.7382,5.3404,7.9781
MR_IF_3,11.4316,5.001,7.4469
MR_IF_4,11.1351,4.2275,6.4621
MR_IF_5,11.2581,4.8384,7.2157
MR_IF_6,11.1388,4.0324,6.5946
MR_IF_7,11.3801,5.0502,7.6614
MR_IF_8,11.2377,4.7472,7.0298
MR_IF_9,11.2534,4.1531,6.9763
MR_OF_1,13.0569,6.5505,9.7254
MR_OF_10,11.84,5.3205,7.91
MR_OF_11,11.1736,4.0248,6.4992
MR_OF_12,12.2186,5.6679,8.4358
MR_OF_2,11.7089,4.718,8.0245
MR_OF_3,11.398,4.2798,7.1725
MR_OF_4,11.7982,4.8961,8.3312
MR_OF_5,11.5065,4.4821,7.591
MR_OF_6,12.7801,6.2805,9.2624
MR_OF_7,12.1783,5.3224,8.8492
MR_OF_8,11.0745,4.1047,6.195
MR_OF_9,11.0577,4.2748,6.3213
MR_P_1,13.1019,6.5918,9.7862
