site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
MR_BR_1,Back Reef,3750.298812,FALSE,33.29268293,Moore,Moore_MR_BR_1,146.22554,-16.8459664,-15.87245163,183
MR_BR_10,Back Reef,15322.30831,FALSE,18.02547771,Moore,Moore_MR_BR_10,146.2533233,-16.86917034,-10.64124225,93
MR_BR_11,Back Reef,24071.7889,FALSE,21.90196078,Moore,Moore_MR_BR_11,146.2123393,-16.86877807,-9.256153178,226
MR_BR_12,Back Reef,42204.8358,FALSE,29.94369369,Moore,Moore_MR_BR_12,146.206856,-16.87221294,-11.50859414,234
MR_BR_13,Back Reef,14068.43192,FALSE,28.5472973,Moore,Moore_MR_BR_13,146.201838,-16.87465749,-13.40426712,248
MR_BR_14,Back Reef,5315.505419,FALSE,25.45454545,Moore,Moore_MR_BR_14,146.228872,-16.87347633,-2.991803927,173
MR_BR_15,Back Reef,16885.47789,FALSE,17.14285714,Moore,Moore_MR_BR_15,146.2183034,-16.88052111,-5.554542859,203
MR_BR_16,Back Reef,28138.77003,FALSE,29.60750853,Moore,Moore_MR_BR_16,146.2005822,-16.87911346,-11.47119048,253
MR_BR_17,Back Reef,17826.89108,FALSE,35,Moore,Moore_MR_BR_17,146.2502644,-16.88015053,-17.4868074,95
MR_BR_18,Back Reef,44088.58466,FALSE,12.13186813,Moore,Moore_MR_BR_18,146.2050557,-16.88356052,-6.84321621,241
MR_BR_19,Back Reef,13761.83284,FALSE,34.4137931,Moore,Moore_MR_BR_19,146.2459658,-16.88479623,-15.57653334,112
MR_BR_2,Back Reef,43445.3954,FALSE,32.12765957,Moore,Moore_MR_BR_2,146.2298773,-16.85044269,-12.52336259,167
MR_BR_20,Back Reef,34082.59287,FALSE,29.43089431,Moore,Moore_MR_BR_20,146.1991457,-16.8855565,-9.593226201,252
MR_BR_21,Back Reef,36587.42184,FALSE,27.15736041,Moore,Moore_MR_BR_21,146.2132443,-16.88592328,-4.328980862,217
MR_BR_22,Back Reef,11255.5813,FALSE,33.47826087,Moore,Moore_MR_BR_22,146.1828645,-16.8858653,-16.21997962,293
MR_BR_23,Back Reef,8131.859251,FALSE,34.82758621,Moore,Moore_MR_BR_23,146.2396744,-16.88607595,-13.41344578,136
MR_BR_24,Back Reef,25014.75405,FALSE,30.50909091,Moore,Moore_MR_BR_24,146.194001,-16.88742144,-14.67980082,274
MR_BR_25,Back Reef,19702.70671,FALSE,28.12807882,Moore,Moore_MR_BR_25,146.2184796,-16.8894145,-8.597859294,202
MR_BR_26,Back Reef,17202.40639,FALSE,34.21787709,Moore,Moore_MR_BR_26,146.2343606,-16.88933915,-15.10987576,151
MR_BR_27,Back Reef,22202.24619,FALSE,29.11016949,Moore,Moore_MR_BR_27,146.2041823,-16.88816865,-11.68105404,240
MR_BR_28,Back Reef,14073.79374,FALSE,22.56666667,Moore,Moore_MR_BR_28,146.2272906,-16.88807501,-6.930654424,171
MR_BR_29,Back Reef,26581.86413,TRUE,27.3951049,Moore,Moore_MR_BR_29,146.2106021,-16.8896718,-10.89238256,225
MR_BR_3,Back Reef,1562.979148,FALSE,35,Moore,Moore_MR_BR_3,146.2437854,-16.85285457,-15.85040003,126
MR_BR_30,Back Reef,43776.06883,FALSE,33.83870968,Moore,Moore_MR_BR_30,146.1888663,-16.889604,-10.16399288,282
MR_BR_31,Back Reef,34394.76355,FALSE,32.22379603,Moore,Moore_MR_BR_31,146.1846668,-16.88987735,-15.19163726,288
MR_BR_32,Back Reef,21267.6258,TRUE,33.58447489,Moore,Moore_MR_BR_32,146.2242232,-16.89073025,-13.1487097,186
MR_BR_33,Back Reef,10319.70851,FALSE,33.72727273,Moore,Moore_MR_BR_33,146.1981375,-16.89237181,-14.16985849,259
MR_BR_34,Back Reef,18450.54302,TRUE,28.10880829,Moore,Moore_MR_BR_34,146.1930907,-16.89468367,-13.73919993,272
MR_BR_35,Back Reef,6880.984633,FALSE,35,Moore,Moore_MR_BR_35,146.2130317,-16.89716786,-14.39929855,215
MR_BR_4,Back Reef,15942.24879,FALSE,38.91566265,Moore,Moore_MR_BR_4,146.2355136,-16.85529046,-6.352375778,153
MR_BR_5,Back Reef,26882.12641,FALSE,33.41726619,Moore,Moore_MR_BR_5,146.2241524,-16.85741216,-16.54293504,188
MR_BR_6,Back Reef,9066.156189,FALSE,35,Moore,Moore_MR_BR_6,146.2475837,-16.85721025,-15.94294441,110
MR_BR_7,Back Reef,14692.20149,TRUE,34.77707006,Moore,Moore_MR_BR_7,146.2266452,-16.85976539,-15.35808105,174
MR_BR_8,Back Reef,24069.36209,FALSE,32.93307087,Moore,Moore_MR_BR_8,146.2171691,-16.86109128,-16.36568711,210
MR_BR_9,Back Reef,18756.29161,FALSE,34.06735751,Moore,Moore_MR_BR_9,146.2158534,-16.86453748,-15.54820947,209
MR_C_1,Crest,129437.4809,FALSE,40.89574156,Moore,Moore_MR_C_1,146.2484994,-16.8615807,-1.286151538,109
MR_C_2,Crest,76901.33963,FALSE,26.33540373,Moore,Moore_MR_C_2,146.2426521,-16.85538011,-1.34201823,125
MR_C_3,Crest,111941.7871,FALSE,40.10195412,Moore,Moore_MR_C_3,146.2514768,-16.86725463,-1.347429341,97
MR_C_4,Crest,78184.30865,FALSE,15.4601227,Moore,Moore_MR_C_4,146.2475158,-16.87824915,-1.307801536,106
MR_C_5,Crest,98454.09478,FALSE,17.82945736,Moore,Moore_MR_C_5,146.234004,-16.84819079,-1.593583592,155
MR_C_6,Crest,52201.22612,FALSE,32.78388278,Moore,Moore_MR_C_6,146.2396488,-16.85175096,-1.369979008,140
