"site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat","sitedepth","recom_connectivity","Acropora2026","Goniastrea2026","Acropora2034","Goniastrea2034","Total2026","Total2034"
"MR_BR_1","Back Reef",3750.298812,FALSE,33.29268293,"Moore","Moore_MR_BR_1",146.22554,-16.8459664,-15.87245163,183,21.9475244083092,10.228918683207,11.0800517072536,10.0522586323145,32.1764430915161,21.1323103395681
"MR_BR_10","Back Reef",15322.30831,FALSE,18.02547771,"Moore","Moore_MR_BR_10",146.2533233,-16.86917034,-10.64124225,93,12.3318676396418,5.04818637691711,8.21620335130515,5.06537969549751,17.3800540165589,13.2815830468027
"MR_BR_11","Back Reef",24071.7889,FALSE,21.90196078,"Moore","Moore_MR_BR_11",146.2123393,-16.86877807,-9.256153178,226,13.7185655473461,7.03217834230792,2.05748328718338,5.82901758959076,20.750743889654,7.88650087677414
"MR_BR_12","Back Reef",42204.8358,FALSE,29.94369369,"Moore","Moore_MR_BR_12",146.206856,-16.87221294,-11.50859414,234,16.4802602204837,10.1286668542968,2.7860263259558,8.60656653403531,26.6089270747805,11.3925928599911
"MR_BR_13","Back Reef",14068.43192,FALSE,28.5472973,"Moore","Moore_MR_BR_13",146.201838,-16.87465749,-13.40426712,248,18.7509753063024,8.81729520851467,8.69397344186005,8.76136608142418,27.568270514817,17.4553395232842
"MR_BR_14","Back Reef",5315.505419,FALSE,25.45454545,"Moore","Moore_MR_BR_14",146.228872,-16.87347633,-2.991803927,173,15.8295222510095,8.41137184915782,5.16395476561158,8.82339612110011,24.2408941001673,13.9873508867117
"MR_BR_15","Back Reef",16885.47789,FALSE,17.14285714,"Moore","Moore_MR_BR_15",146.2183034,-16.88052111,-5.554542859,203,10.7956136795549,5.47838122414039,2.54944907797656,5.03637775023786,16.2739949036953,7.58582682821442
"MR_BR_16","Back Reef",28138.77003,FALSE,29.60750853,"Moore","Moore_MR_BR_16",146.2005822,-16.87911346,-11.47119048,253,17.3956421617794,9.74912870855316,3.61189523498644,8.48006631864641,27.1447708703326,12.0919615536329
"MR_BR_17","Back Reef",17826.89108,FALSE,35,"Moore","Moore_MR_BR_17",146.2502644,-16.88015053,-17.4868074,95,23.6998399609485,10.1476683510835,21.091553566111,10.1827097121922,33.8475083120319,31.2742632783031
"MR_BR_18","Back Reef",44088.58466,FALSE,12.13186813,"Moore","Moore_MR_BR_18",146.2050557,-16.88356052,-6.84321621,241,7.41596732798701,3.44431414017656,1.22011394387715,3.09377057577515,10.8602814681636,4.3138845196523
"MR_BR_19","Back Reef",13761.83284,FALSE,34.4137931,"Moore","Moore_MR_BR_19",146.2459658,-16.88479623,-15.57653334,112,23.6670611597474,9.75243293924929,19.0801484186171,9.71353725096755,33.4194940989967,28.7936856695847
"MR_BR_2","Back Reef",43445.3954,FALSE,32.12765957,"Moore","Moore_MR_BR_2",146.2298773,-16.85044269,-12.52336259,167,16.4495001493172,11.0591955577989,8.30250215207322,10.8749222726733,27.5086957071161,19.1774244247465
"MR_BR_20","Back Reef",34082.59287,FALSE,29.43089431,"Moore","Moore_MR_BR_20",146.1991457,-16.8855565,-9.593226201,252,15.2361805136978,10.0499723234684,3.17845349155343,8.72855879334143,25.2861528371662,11.9070122848949
"MR_BR_21","Back Reef",36587.42184,FALSE,27.15736041,"Moore","Moore_MR_BR_21",146.2132443,-16.88592328,-4.328980862,217,12.8206227093916,9.3434016576221,2.23085350728609,8.20355587778875,22.1640243670137,10.4344093850748
"MR_BR_22","Back Reef",11255.5813,FALSE,33.47826087,"Moore","Moore_MR_BR_22",146.1828645,-16.8858653,-16.21997962,293,20.0988192625936,11.1233412000195,5.65975774740318,10.1544944360442,31.2221604626131,15.8142521834473
"MR_BR_23","Back Reef",8131.859251,FALSE,34.82758621,"Moore","Moore_MR_BR_23",146.2396744,-16.88607595,-13.41344578,136,24.1636049321874,9.78289265791964,19.5188076971009,9.8818985128181,33.946497590107,29.400706209919
