site_id,habitat,benthic,rubble,k,Reef
TR_BR_1,Back Reef,Rock,0,96.875,Thetford
TR_BR_2,Back Reef,Rock,0,72.34042553191489,Thetford
TR_BR_3,Back Reef,Rock,0,65.38461538461539,Thetford
TR_BR_4,Back Reef,Hard Substrate,0,60.0,Thetford
TR_BR_5,Back Reef,Rock,0,67.03296703296704,Thetford
TR_BR_6,Back Reef,Rock,0,78.47682119205298,Thetford
TR_C_1,Crest,Rock,0,9.698996655518394,Thetford
TR_C_2,Crest,Rock,0,18.81648936170213,Thetford
TR_C_3,Crest,Rock,0,35.33123028391167,Thetford
TR_C_4,Crest,Rock,0,22.5,Thetford
TR_C_5,Crest,Rock,0,21.296296296296298,Thetford
TR_IF_1,Inner Flat,Hard Substrate,0,48.903654485049834,Thetford
TR_IF_2,Inner Flat,Hard Substrate,0,72.61467889908256,Thetford
TR_IF_6,Inner Flat,Hard Substrate,0,59.91107817710263,Thetford
TR_OF_1,Outer Flat,Hard Substrate,0,60.70175438596491,Thetford
TR_OF_2,Outer Flat,Rock,0,43.37592468056489,Thetford
TR_OF_3,Outer Flat,Rock,0,44.49579831932773,Thetford
TR_OF_4,Outer Flat,Hard Substrate,0,61.07470511140236,Thetford
TR_OF_5,Outer Flat,Hard Substrate,0,52.961672473867594,Thetford
TR_OF_6,Outer Flat,Hard Substrate,0,65.32751091703057,Thetford
TR_S_1,Slope,Rock,0,81.49074537268635,Thetford
TR_S_10,Slope,Rock,0,44.943820224719104,Thetford
TR_S_11,Slope,Rock,0,71.16666666666667,Thetford
TR_S_12,Slope,Rock,0,69.96805111821087,Thetford
TR_S_13,Slope,Rock,0,74.20661715057393,Thetford
TR_S_14,Slope,Rock,0,80.35714285714286,Thetford
TR_S_2,Slope,Rock,0,81.2111801242236,Thetford
TR_S_3,Slope,Rock,0,84.07835258663988,Thetford
TR_S_4,Slope,Rock,0,53.9568345323741,Thetford
TR_S_5,Slope,Rock,0,65.92592592592592,Thetford
TR_S_6,Slope,Rock,0,27.475247524752476,Thetford
TR_S_7,Slope,Rock,0,43.829787234042556,Thetford
TR_S_8,Slope,Rock,0,53.44827586206897,Thetford
TR_S_9,Slope,Rock,0,90.38461538461539,Thetford
MR_BR_1,Back Reef,Rock,0,58.69565217391305,Milln
MR_BR_2,Back Reef,Rock,0,70.58823529411765,Milln
MR_BR_3,Back Reef,Hard Substrate,0,63.793103448275865,Milln
MR_BR_4,Back Reef,Rock,0,37.2093023255814,Milln
MR_BR_5,Back Reef,Hard Substrate,0,61.688311688311686,Milln
MR_C_1,Crest,Rock,0,21.822033898305083,Milln
MR_C_2,Crest,Rock,0,33.61256544502618,Milln
MR_C_3,Crest,Rock,0,39.92172211350294,Milln
MR_C_4,Crest,Rock,0,33.405875952121875,Milln
MR_IF_1,Inner Flat,Hard Substrate,0,90.93997734994338,Milln
MR_IF_2,Inner Flat,Hard Substrate,0,74.1431148526759,Milln
MR_OF_1,Outer Flat,Rock,0,38.77777777777778,Milln
MR_OF_2,Outer Flat,Hard Substrate,0,50.36357888080936,Milln
MR_OF_3,Outer Flat,Rock,0,43.900481540930976,Milln
MR_SS_1,Sheltered Slope,Rock,0,81.25,Milln
MR_S_1,Slope,Rock,0,41.32290184921764,Milln
MR_S_2,Slope,Rock,0,65.07510729613733,Milln
MR_S_3,Slope,Rock,0,62.63254113345521,Milln
MR_S_4,Slope,Rock,0,64.07964242177977,Milln
MR_S_6,Slope,Rock,0,30.501392757660167,Milln
MR_S_7,Slope,Rock,0,39.03448275862069,Milln
MR_BR_1,Back Reef,Rock,0,95.1219512195122,Moore
MR_BR_10,Back Reef,Rock,0,50.318471337579616,Moore
MR_BR_12,Back Reef,Rock,0,67.56756756756756,Moore
MR_BR_13,Back Reef,Rock,0,70.27027027027027,Moore
MR_BR_2,Back Reef,Rock,0,79.14893617021276,Moore
MR_BR_22,Back Reef,Rock,0,95.65217391304348,Moore
MR_BR_24,Back Reef,Rock,0,85.81818181818181,Moore
MR_BR_27,Back Reef,Rock,0,73.72881355932203,Moore
MR_BR_30,Back Reef,Rock,0,64.73118279569893,Moore
MR_BR_31,Back Reef,Rock,0,92.06798866855524,Moore
MR_BR_33,Back Reef,Rock,0,96.36363636363636,Moore
MR_BR_5,Back Reef,Rock,0,92.80575539568345,Moore
MR_BR_8,Back Reef,Rock,0,94.09448818897638,Moore
MR_BR_9,Back Reef,Rock,0,96.37305699481865,Moore
MR_C_1,Crest,Rock,0,40.89574155653451,Moore
MR_C_2,Crest,Rock,0,26.335403726708076,Moore
MR_C_3,Crest,Rock,0,40.10195412064571,Moore
MR_C_4,Crest,Rock,0,15.460122699386503,Moore
MR_C_5,Crest,Rock,0,17.829457364341085,Moore
MR_C_6,Crest,Rock,0,32.78388278388278,Moore
MR_C_7,Crest,Rock,0,24.659606656580937,Moore
MR_IF_1,Inner Flat,Hard Substrate,0,50.40953090096798,Moore
MR_IF_12,Inner Flat,Hard Substrate,0,58.63153755406999,Moore
MR_IF_14,Inner Flat,Hard Substrate,0,76.9330453563715,Moore
MR_IF_15,Inner Flat,Hard Substrate,0,70.66586682663467,Moore
MR_IF_18,Inner Flat,Hard Substrate,0,82.53205128205128,Moore
MR_IF_9,Inner Flat,Hard Substrate,0,70.62107466852757,Moore
MR_OF_1,Outer Flat,Hard Substrate,0,56.81470137825421,Moore
