Guided,Seed1,fogging,Aadpt,Natad,dCC,dSV,dJu,dRCI
No,No,No,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,gt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,gt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,No,Yes,gt_500,lt_500,lt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,lt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,lt_30,lt_500
No,Yes,No,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,No,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,No,High,No,gt_500,lt_500,gt_30,lt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,lt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,lt_500
No,Yes,Yes,No,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
No,Yes,Yes,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,lt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,Low,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,lt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,gt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,gt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,No,gt_500,lt_500,gt_30,lt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
No,Yes,Yes,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,Low,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,No,lt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,lt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,gt_500
Yes,No,Yes,High,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,No,Yes,gt_500,lt_500,lt_30,gt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,No,lt_500,lt_500,lt_30,lt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,Low,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,No,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
Yes,Yes,No,High,Yes,gt_500,gt_500,gt_30,gt_500
